wardName,population,nElderlySurveyed,nAllSurveyed,nElderlyPop
Phường An Cựu,24363,6.0,60.0,2436
Phường An Đông,19105,-1.0,-1.0,2853
Phường An Hòa,11973,9.0,65.0,1658
Phường An Tây,11887,4.0,60.0,792
Phường Phường Đúc,10370,5.0,60.0,864
Phường Hương Long,13122,12.0,47.0,3350
Phường Hương Sơ,12990,-1.0,-1.0,1940
Phường Kim Long,16850,-1.0,-1.0,2516
Phường Phú Hậu,12370,-1.0,-1.0,1847
Phường Phú Hội,9446,-1.0,-1.0,1411
Phường Phú Nhuận,8123,14.0,63.0,1805
Phường Phước Vĩnh,19817,6.0,58.0,2050
Phường Tây Lộc,23307,8.0,52.0,3586
Phường Thuận Hòa,16528,12.0,67.0,2960
Phường Thuận Lộc,21208,15.0,66.0,4820
Phường Thuỷ Biều,10488,-1.0,-1.0,1566
Phường Thuỷ Xuân,21250,12.0,57.0,4474
Phường Trường An,16549,7.0,55.0,2106
Phường Vỹ Dạ,19495,7.0,69.0,1978
Phường Vĩnh Ninh,6299,-1.0,-1.0,941
Phường Xuân Phú,15216,-1.0,-1.0,2272
Phường Gia Hội,20004,-1.0,-1.0,2987
Phường Đông Ba,17224,8.0,58.0,2376
Phường Hương Hồ,10584,-1.0,-1.0,1581
Phường Hương An,6465,-1.0,-1.0,966
Phường Hương Vinh,14190,-1.0,-1.0,2119
Phường Thủy Vân,8205,-1.0,-1.0,1225
Phường Phú Thượng,20178,-1.0,-1.0,3013
Phường Thuận An,21495,-1.0,-1.0,3210
Xã Hương Thọ,5233,-1.0,-1.0,782
Xã Hương Phong,9275,-1.0,-1.0,1385
Xã Hải Dương,5738,-1.0,-1.0,857
Xã Thủy Bằng,8340,-1.0,-1.0,1246
Xã Phú Dương,11305,-1.0,-1.0,1688
Xã Phú Mậu,10916,-1.0,-1.0,1630
Xã Phú Thanh,4162,-1.0,-1.0,622
