ward,wardName,population,male,female,nppTHPT,nppTertiary,nElderly
An Cựu,Phường An Cựu,24363,12007,12356,518,1037,2436
An Đông,Phường An Đông,19105,9353,9752,802,859,2853
An Hòa,Phường An Hòa,11973,5866,6107,452,452,1658
An Tây,Phường An Tây,11887,5757,6130,485,243,792
Đúc,Phường Phường Đúc,10370,5089,5281,494,494,864
Hương Long,Phường Hương Long,13122,6396,6726,673,34,3350
Hương Sơ,Phường Hương Sơ,12990,6365,6625,545,584,1940
Kim Long,Phường Kim Long,16850,8294,8556,707,758,2516
Phú Hậu,Phường Phú Hậu,12370,6094,6276,519,556,1847
Phú Hội,Phường Phú Hội,9446,4674,4772,397,425,1411
Phú Nhuận,Phường Phú Nhuận,8123,4026,4097,325,650,1805
Phước Vĩnh,Phường Phước Vĩnh,19817,9796,10021,1651,2064,2050
Tây Lộc,Phường Tây Lộc,23307,11430,11877,568,2274,3586
Thuận Hòa,Phường Thuận Hòa,16528,8130,8398,1653,331,2960
Thuận Lộc,Phường Thuận Lộc,21208,10357,10851,416,832,4820
Thuỷ Biều,Phường Thuỷ Biều,10488,5161,5327,440,472,1566
Thuỷ Xuân,Phường Thuỷ Xuân,21250,10500,10750,46,924,4474
Trường An,Phường Trường An,16549,8098,8451,1504,38,2106
Vĩ Dạ,Phường Vỹ Dạ,19495,9707,9788,34,672,1978
Vĩnh Ninh,Phường Vĩnh Ninh,6299,3165,3134,264,283,941
Xuân Phú,Phường Xuân Phú,15216,7484,7732,639,684,2272
Gia Hội,Phường Gia Hội,20004,9751,10253,840,900,2987
Đông Ba,Phường Đông Ba,17224,8474,8750,703,1055,2376
Hương Hồ,Phường Hương Hồ,10584,5224,5360,444,476,1581
Hương An,Phường Hương An,6465,3234,3231,271,291,966
Hương Vinh,Phường Hương Vinh,14190,6943,7247,596,638,2119
Thủy Vân,Phường Thủy Vân,8205,4075,4130,344,369,1225
Phú Thượng,Phường Phú Thượng,20178,9820,10358,847,908,3013
Thuận An,Phường Thuận An,21495,10558,10937,902,967,3210
Hương Thọ,Xã Hương Thọ,5233,2607,2626,220,235,782
Hương Phong,Xã Hương Phong,9275,4571,4704,389,417,1385
Hải Dương,Xã Hải Dương,5738,2865,2873,241,258,857
Thủy Bằng,Xã Thủy Bằng,8340,4102,4238,350,375,1246
Phú Dương,Xã Phú Dương,11305,5589,5716,475,508,1688
Phú Mậu,Xã Phú Mậu,10916,5416,5500,458,491,1630
Phú Thanh,Xã Phú Thanh,4162,2081,2081,175,187,622
